name,matricule
Alain Duran,14197C
Alain Fauconnier,08066D
Alain Fouché,02002K
Alain Joyandet,95041E
Alain Marc,14111D
Anne-Marie Escoffier,08064B
Antoine Karam,14039A
Aymeri De Montesquiou,98032R
Benoît Huré,04097T
Bernard Cazeau,98029W
Bernard Coulon,14091S
Bernard Jeanmet-Peralta,14125K
Catherine Pinol,14067S
Cédric Perrin,14193X
Claude Berit-Debat,08055A
Claude Malhuret,14251Q
Claude Nougein,14253S
Daniel Chasseing,14195A
Daniel Gremillet,14033T
Dominique Verien,14163R
Elisabeth Doineau,14042U
Eric Jeansannetas,14121F
Franck Montaugé,14257W
François Baroin,05004A
François Bonhomme,14069U
François Pillet,07034Q
Georges Patient,08073C
Gérard Dériot,98024R
Gisèle Jourda,14097Y
Guillaume Jacques Arnell,14261S
Henri De Raincourt,86044G
Hervé Saulignac,14183V
Jackie Pierre,04088S
Jacques Depieds,14127M
Jacques Drapier,14027V
Jacques Genest,14199E
Jacques Mézard,08051V
Jacques Thouroude,14161P
Jean Auclair,14155R
Jean-Baptiste Lemoyne,14037X
Jean-Claude Luche,14103D
Jean-Etienne Antoinette,08072B
Jean-François Leclet,14181T
Jean-François Mayet,08062Y
Jean-Jacques De Peretti,14117K
Jean-Jacques Lozach,08012N
Jean-Jacques Panunzi,14191V
Jean-Marc Gabouty,14034U
Jean-Marie Morisset,14119M
Jean-Michel Arnaud,14189C
Jean-Michel Baylet,86010V
Jean-Michel Bolvin,14145P
Jean-Philippe Saulnier-Arrighi,14165T
Jean-Pierre Chausse,14131H
Jean-Pierre Michel,04084N
Jean-Pierre Raffarin,95059Q
Jean-Pierre Vial,95067Q
Jean-Yves Dusserre,14129P
Jean-Yves Roux,14107H
Joseph Castelli,14201E
Louis Pinton,07032N
Marc Laménie,07029T
Marie-Françoise Perol-Dumont,14028W
Mathieu Darnaud,14259Y
Michel Boutant,08058D
Michel Bouvard,14175V
Michel Magras,08019V
Michel Raison,14135M
Nathalie Lanzi,14203G
Nicole Bonnefoy,08060W
Patricia Bordas,14002L
Philippe Adnot,89017R
Philippe Bonnecarrere,14089Y
Philippe Mouiller,14071N
Pierre Bordier,04073K
Pierre Jarlier,98027U
Pierre-André Périssol,14101B
Raymond Vall,08049C
Rémy Pointereau,05012A
Richard Tuheiava,08071A
Robert Laufoaulu,98005N
Roland Courteau,80013X
Teura Iriti,14044W
Thierry Carcenac,14085U
Thierry Leguevaques,14099B
Thierry Repentin,04090L
Vetelino Nau,14040S
Vincent Descoeur,14141K
Vincent Dubois,14043V
Xavier Argenton,14057Q
Yves Ackermann,08008S
Yvon Collin,88008L